Question_Number,Question_Text,Response,Count,Percentage
Q1,"Q1) The AI tool helped me (the user) understand what the three AI Agents (Preparator, Aggregator, Validator) can do.",Agree (4),27,28.7
Q1,"Q1) The AI tool helped me (the user) understand what the three AI Agents (Preparator, Aggregator, Validator) can do.",Neutral (3),23,24.5
Q1,"Q1) The AI tool helped me (the user) understand what the three AI Agents (Preparator, Aggregator, Validator) can do.",Strongly Agree (5),19,20.2
Q1,"Q1) The AI tool helped me (the user) understand what the three AI Agents (Preparator, Aggregator, Validator) can do.",Disagree (2),12,12.8
Q1,"Q1) The AI tool helped me (the user) understand what the three AI Agents (Preparator, Aggregator, Validator) can do.",Strongly Disagree (1),5,5.3
Q1,"Q1) The AI tool helped me (the user) understand what the three AI Agents (Preparator, Aggregator, Validator) can do.",Not applicable,2,2.1
Q2,"Q2) The AI tool helped me (the user) understand how often the three AI Agents (Preparator, Aggregator, Validator) may make mistakes.",Agree (4),44,46.8
Q2,"Q2) The AI tool helped me (the user) understand how often the three AI Agents (Preparator, Aggregator, Validator) may make mistakes.",Neutral (3),16,17
Q2,"Q2) The AI tool helped me (the user) understand how often the three AI Agents (Preparator, Aggregator, Validator) may make mistakes.",Strongly Disagree (1),13,13.8
Q2,"Q2) The AI tool helped me (the user) understand how often the three AI Agents (Preparator, Aggregator, Validator) may make mistakes.",Disagree (2),8,8.5
Q2,"Q2) The AI tool helped me (the user) understand how often the three AI Agents (Preparator, Aggregator, Validator) may make mistakes.",Strongly Agree (5),4,4.3
Q3,Q3) The AI tool correctly acts or interrupts me (the user) based on my (the user) current task and context.,Disagree (2),24,25.5
Q3,Q3) The AI tool correctly acts or interrupts me (the user) based on my (the user) current task and context.,Agree (4),23,24.5
Q3,Q3) The AI tool correctly acts or interrupts me (the user) based on my (the user) current task and context.,Neutral (3),18,19.1
Q3,Q3) The AI tool correctly acts or interrupts me (the user) based on my (the user) current task and context.,Strongly Disagree (1),13,13.8
Q3,Q3) The AI tool correctly acts or interrupts me (the user) based on my (the user) current task and context.,Not applicable,6,6.4
Q4,"Q4) The AI tool displays information that is relevant to me (the user), given my current task and context.",Agree (4),40,42.6
Q4,"Q4) The AI tool displays information that is relevant to me (the user), given my current task and context.",Strongly Agree (5),23,24.5
Q4,"Q4) The AI tool displays information that is relevant to me (the user), given my current task and context.",Neutral (3),14,14.9
Q4,"Q4) The AI tool displays information that is relevant to me (the user), given my current task and context.",Strongly Disagree (1),3,3.2
Q4,"Q4) The AI tool displays information that is relevant to me (the user), given my current task and context.",Disagree (2),3,3.2
Q4,"Q4) The AI tool displays information that is relevant to me (the user), given my current task and context.",Not applicable,2,2.1
Q5,"Q5) My experience (the user) when using the AI tool matches my expectations, given my social and cultural backgrounds.",Neutral (3),32,34
Q5,"Q5) My experience (the user) when using the AI tool matches my expectations, given my social and cultural backgrounds.",Agree (4),31,33
Q5,"Q5) My experience (the user) when using the AI tool matches my expectations, given my social and cultural backgrounds.",Strongly Agree (5),11,11.7
Q5,"Q5) My experience (the user) when using the AI tool matches my expectations, given my social and cultural backgrounds.",Strongly Disagree (1),4,4.3
Q5,"Q5) My experience (the user) when using the AI tool matches my expectations, given my social and cultural backgrounds.",Disagree (2),4,4.3
Q5,"Q5) My experience (the user) when using the AI tool matches my expectations, given my social and cultural backgrounds.",Not applicable,3,3.2
Q6,Q6) The AI tool’s language and behaviour do not reinforce undesirable and unfair stereotypes and biases.,Agree (4),38,40.4
Q6,Q6) The AI tool’s language and behaviour do not reinforce undesirable and unfair stereotypes and biases.,Strongly Agree (5),19,20.2
Q6,Q6) The AI tool’s language and behaviour do not reinforce undesirable and unfair stereotypes and biases.,Neutral (3),15,16
Q6,Q6) The AI tool’s language and behaviour do not reinforce undesirable and unfair stereotypes and biases.,Not applicable,5,5.3
Q6,Q6) The AI tool’s language and behaviour do not reinforce undesirable and unfair stereotypes and biases.,Strongly Disagree (1),4,4.3
Q6,Q6) The AI tool’s language and behaviour do not reinforce undesirable and unfair stereotypes and biases.,Disagree (2),4,4.3
Q7,Q7) The AI tool makes it easy for me (the user) to invoke or request its (the AI tool’s) services when needed.,Strongly Agree (5),35,37.2
Q7,Q7) The AI tool makes it easy for me (the user) to invoke or request its (the AI tool’s) services when needed.,Agree (4),28,29.8
Q7,Q7) The AI tool makes it easy for me (the user) to invoke or request its (the AI tool’s) services when needed.,Neutral (3),13,13.8
Q7,Q7) The AI tool makes it easy for me (the user) to invoke or request its (the AI tool’s) services when needed.,Disagree (2),6,6.4
Q7,Q7) The AI tool makes it easy for me (the user) to invoke or request its (the AI tool’s) services when needed.,Strongly Disagree (1),2,2.1
Q7,Q7) The AI tool makes it easy for me (the user) to invoke or request its (the AI tool’s) services when needed.,Not applicable,1,1.1
Q8,Q8) The AI tool makes it easy for me (the user) to dismiss or ignore its (the AI tool’s) undesired services.,Agree (4),34,36.2
Q8,Q8) The AI tool makes it easy for me (the user) to dismiss or ignore its (the AI tool’s) undesired services.,Strongly Agree (5),27,28.7
Q8,Q8) The AI tool makes it easy for me (the user) to dismiss or ignore its (the AI tool’s) undesired services.,Neutral (3),17,18.1
Q8,Q8) The AI tool makes it easy for me (the user) to dismiss or ignore its (the AI tool’s) undesired services.,Disagree (2),4,4.3
Q8,Q8) The AI tool makes it easy for me (the user) to dismiss or ignore its (the AI tool’s) undesired services.,Not applicable,2,2.1
